46,ОАО "Петербургские аптеки", Аптека №250,ОАО "Петербургские аптеки",Аптека №250,197349, Санкт-Петербург,  Испытателей пр., 31 к1 А,Приморский,301-79-37,,1097847102561
43,ОАО "Петербургские аптеки", Аптека №240,ОАО "Петербургские аптеки",Аптека №240,195267, Санкт-Петербург,  Гражданский пр., 114/1,Калининский,290-26-94,,1097847102561
36,ОАО "Петербургские аптеки", Аптека №211,ОАО "Петербургские аптеки",Аптека №211,192283, Санкт-Петербург,  Купчинская ул., 32/1 Г,Фрунзенский,775-15-54,,1097847102561
47,ОАО "Петербургские аптеки", аптечный пункт,ОАО "Петербургские аптеки",аптечный пункт,197136, Санкт-Петербург,  Чкаловский пр., 34 А,Петроградский,,,1097847102561
44,ОАО "Петербургские аптеки", Аптека №242,ОАО "Петербургские аптеки",Аптека №242,192207, Санкт-Петербург,  Ленинский пр., 118 A,Кировский,758-14-14,,1097847102561
37,ОАО "Петербургские аптеки", Аптека №214,ОАО "Петербургские аптеки",Аптека №214,198216, Санкт-Петербург,  Ленинский пр., 131 A,Кировский, 377-18-33,,1097847102561
27,ОАО "Петербургские аптеки", Аптека №167,ОАО "Петербургские аптеки",Аптека №167,196240, Санкт-Петербург,  Краснопутиловская ул., 121 А,Московский,370-63-39,,1097847102561
24,ОАО "Петербургские аптеки", Аптека №156,ОАО "Петербургские аптеки",Аптека №156,195176, Санкт-Петербург,  Апрельская ул., 6 к1 A,Красногвардейский,498-84-85,,1097847102561
31,ОАО "Петербургские аптеки", Аптека №176,ОАО "Петербургские аптеки",Аптека №176,196600, Санкт-Петербург, Пушкин Алексея Толстого бульвар, 5а  А,Пушкинский,476-19-60,,1097847102561
38,ОАО "Петербургские аптеки", Аптека №223,ОАО "Петербургские аптеки",Аптека №223,197341, Санкт-Петербург,  Аллея Поликарпова, 6 к2 А,Приморский,393-52-66,,1097847102561
28,ОАО "Петербургские аптеки", Аптека №171,ОАО "Петербургские аптеки",Аптека №171,198329, Санкт-Петербург,  Партизана Германа ул., 5/14 А,Красносельский,735-19-17,,1097847102561
25,ОАО "Петербургские аптеки", Аптека №157,ОАО "Петербургские аптеки",Аптека №157,196600, Санкт-Петербург,  Петербургское шоссе, 13/1 А,Пушкинский,465-81-83,,1097847102561
29,ОАО "Петербургские аптеки", Аптека №173,ОАО "Петербургские аптеки",Аптека №173,195112, Санкт-Петербург,  Новочеркасский пр., 12 к1 А,Красногвардейский,528-12-10,,1097847102561
26,ОАО "Петербургские аптеки", Аптека №162,ОАО "Петербургские аптеки",Аптека №162,194017, Санкт-Петербург,  Энгельса пр., 69 А,Выборгский,553-83-63,,1097847102561
33,ОАО "Петербургские аптеки", Аптека №189,ОАО "Петербургские аптеки",Аптека №189,196650, Санкт-Петербург,  Тверская ул., 1/13 A,Колпинский,463-32-42,,1097847102561
34,ОАО "Петербургские аптеки", Аптека №195,ОАО "Петербургские аптеки",Аптека №195,198903, Санкт-Петербург, Петродворец Разводная ул., 19 к1 А,Петродворцовый,427-21-01,,1097847102561
35,ОАО "Петербургские аптеки", Аптека №207,ОАО "Петербургские аптеки",Аптека №207,193315, Санкт-Петербург,  Народная ул., 73 А,Невский,446-74-95,,1097847102561
32,ОАО "Петербургские аптеки", Аптека №184,ОАО "Петербургские аптеки",Аптека №184,199226, Санкт-Петербург,  Наличная ул., 32 к1 A,Василеостровский,359-29-26,,1097847102561
